Nom,Reference,Prix
Géometrie Space Grigio,Ref: 02071320030,279.9€ HT/m²
Géometrie Space Naturalizzato,Ref: 02071320031,229.9€ HT/m²
Lames de Terrasse Exotiques Cumaru,Ref: 07024040401,159.9€ HT/m²
Lames de Terrasse Exotiques Iroko,Ref: 07024040404,190.9€ HT/m²
Dalles de Versailles Semi-Massif Firenze,Ref: 02023980980,229.9€ HT/m²
Lames de Terrasse Exotiques Ipé,Ref: 07024040400,159.9€ HT/m²
Dalles de Versailles Semi-Massif Cortina,Ref: 02025980980,249.9€ HT/m²
Dalles de Versailles Semi-Massif Sanibell,Ref: 02022980980,249.9€ HT/m²
Sol Stratifié Olympe,Ref: 06034003001,29.9€ HT/m²
Sol Stratifié Canaries,Ref: 06034003002,29.9€ HT/m²
Point de Hongrie Chêne Semi-Massif Naturel,Ref: 05040106090,129.9€ HT/m²
Point de Hongrie Chêne Semi-Massif Coton Huilé,Ref: 05040111090,109.9€ HT/m²
Plinthes Chêne Massif Brut 70mm,Ref: 08030211281,8.4€ HT/ml
Saturateur Parquets Extérieurs,Ref: 08040433333,166.8€ HT/litres
Point de Hongrie Chêne Semi-Massif Aurore,Ref: 05040101090,129.9€ HT/m²
Panneaux Ebony Fraisé Capri,Ref: 13011020305,2390€ HT/u
Panneaux Move Alpi Ebony-E,Ref: 13022010214,699€ HT/u
Panneaux Alpi Grigio Portofino,Ref: 13011020304,1690€ HT/u
Panneaux Noyer Americain Fraisé Milano,Ref: 13011020307,1590€ HT/u
Panneaux Noyer Americain Fraisé Venezia,Ref: 13011020302,1390€ HT/u
Panneaux Bouleau Fraisé Firenze,Ref: 13011020303,819€ HT/u
Panneaux Chêne Fraisé Roma,Ref: 13011020301,1290€ HT/u
Panneaux Chêne Fraisé Asolo,Ref: 13011020306,1290€ HT/u
Panneaux Move Alpi Noyer D+D,Ref: 13022010216,599€ HT/u
Panneaux Move Alpi Noyer-B+B,Ref: 13022010209,590€ HT/u
Panneaux Move Alpi Chêne -N,Ref: 13022010208,590€ HT/u
Panneaux Move Alpi Wengé A+A,Ref: 13022010213,549€ HT/u
Réagréage Bostik Fibré,Ref: 08070111125,48€ HT/
Isolant TB Alu,Ref: 08020101014,22€ HT/m²
Panneaux Move Alpi Noyer-X,Ref: 13022010212,549€ HT/u
Panneaux Move Alpi Grigio-P,Ref: 13022010210,490€ HT/u
Réagréage Bostik Sol Béton Autolissant P3,Ref: 08070111126,21.6€ HT/
Colle Parquet R-L Bostik,Ref: 03010321181,12€ HT/u
Isolant Liège Bitumé 4mm,Ref: 08020101012,12€ HT/m²
Isolant Acouflex Gs5,Ref: 08020101013,8€ HT/m²
Isolant Liège Bitumé 2mm,Ref: 08020120015,7€ HT/m²
Colle Parquet Bostik H140,Ref: 08010100140,6€ HT/kg
Colle Parquet Bostik Wood H180,Ref: 03010321180,7€ HT/kg
Colle Parquet Au Cordon 600,Ref: 08010206000,9.6€ HT/u
Rénovateur Mat VENESSENS  Pour Parquets Vernis 5 litres,Ref: 08040001114,110.9€ HT/litres
Lambourdes Exotiques,Ref: 08060104060,9.6€ HT/ml
Nettoyant VENESSENS  Pour Parquets Vernis Mat 5 litres,Ref: 08040011112,69.9€ HT/litres
Savon Naturel VENESSENS Pour Parquets Huilés 1 litre,Ref: 08040222225,23.9€ HT/litres
Savon Naturel VENESSENS Pour Parquets Huilés 1 litre,Ref: 08040222221,23.9€ HT/litres
Huile d'Entretien VENESSENS Pour Parquets Huilés 1 litre,Ref: 08040222226,27.9€ HT/litres
Nettoyant VENESSENS  Pour Parquets Vernis Mat 1 litre,Ref: 08040011111,18.9€ HT/litres
Rénovateur Mat VENESSENS  Pour Parquets Vernis 1 litres,Ref: 08040001113,22.9€ HT/litres
Vitrificateur Intensiv Naturel,Ref: 08050120251,214.8€ HT/litres
Vitrificateur Intensiv Effet Nature,Ref: 08050120250,214.8€ HT/litres
Seuil Placage Bois Chêne Assorti Profil 3 en 1,Ref: 08030515222,30€ HT/u
Point de Hongrie Semi-Massif Caramel,Ref: 03030406118,99.9€ HT/m²
Point de Hongrie Semi-Massif Aspect Brut,Ref: 03030406119,99.9€ HT/m²
Point de Hongrie Semi-Massif Haussmann,Ref: 03030406112,89.9€ HT/m²
Point de Hongrie Chêne Semi-Massif Mazel,Ref: 05040104090,109.9€ HT/m²
Point de Hongrie Semi-Massif Doré,Ref: 03030406124,89.9€ HT/m²
Point de Hongrie Semi-Massif Caramel,Ref: 03030406108,89.9€ HT/m²
Point de Hongrie Semi-Massif Javeline,Ref: 03030406102,89.9€ HT/m²
Point de Hongrie Semi-Massif Naturel,Ref: 03030406100,89.9€ HT/m²
Treccia Chêne Semi-Massif Cortina,Ref: 02071220022,279.9€ HT/m²
Bâton Rompu Chêne Semi-Massif Coton Huilé,Ref: 05050101027,89.9€ HT/m²
Dalles Versace Chêne  Semi-Massif Firenze,Ref: 02060210002,259.9€ HT/m²
Treccia Chêne Semi-Massif Grigio,Ref: 02071220021,279.9€ HT/m²
Panneau Chêne Infinito Semi-Massif Walnut,Ref: 02070220001,299.9€ HT/m²
Dalles Versace Chêne  Semi-Massif Venezia,Ref: 02060210001,259.9€ HT/m²
Dalles Versace Chêne  Semi-Massif Sanibell,Ref: 02060210000,259.9€ HT/m²
Dalles Versace Chêne  Semi-Massif Naturalizzato,Ref: 02060210003,249.9€ HT/m²
Sol Stratifié Olympe,Ref: 06012612124,29.9€ HT/m²
Sol Stratifié Polaire,Ref: 06012612125,29.9€ HT/m²
Sol Stratifié Sardaigne,Ref: 06034003000,29.9€ HT/m²
Treccia Chêne Semi-Massif Naturalizzato,Ref: 02071220020,179.9€ HT/m²
Sol Stratifié Baléares,Ref: 06012612123,29.9€ HT/m²
Sol Stratifié Canaries,Ref: 06012612122,29.9€ HT/m²
Sol Stratifié Rafia,Ref: 06012612120,29.9€ HT/m²
Sol Stratifié Sardaigne,Ref: 06012612121,29.9€ HT/m²
Sol Stratifié Namur,Ref: 06043624231,24.9€ HT/m²
Sol Stratifié Gris Bulding,Ref: 06043624235,24.9€ HT/m²
Sol Stratifié Elis,Ref: 06043624232,24.9€ HT/m²
Sol Stratifié Platon,Ref: 06043624234,24.9€ HT/m²
Sol Stratifié Papyrus,Ref: 06043624233,24.9€ HT/m²
Point de Hongrie Chêne Semi-Massif Fauve,Ref: 05040110090,89.9€ HT/m²
Point de Hongrie Chêne Semi-Massif Nuit Huilé,Ref: 05040109090,89.9€ HT/m²
Parquet Chêne Semi-Massif Naturel,Ref: 05020102440,89.9€ HT/m²
Bâton Rompu Chêne Semi-Massif Nuit Huilé,Ref: 05050101028,79.9€ HT/m²
Parquet Chêne Semi-Massif Fauve,Ref: 05030101390,79.9€ HT/m²
Parquet Chêne Semi-Massif Naturel,Ref: 05020202341,79.9€ HT/m²
Parquet Chêne Semi-Massif Fauve,Ref: 05030202640,79.9€ HT/m²
Parquet Chêne Semi-Massif Blanchi,Ref: 05020204480,89.9€ HT/m²
Parquet Chêne Semi-Massif Naturel,Ref: 05020101590,79.9€ HT/m²
Parquet Chêne Semi-Massif Naturel,Ref: 05020101140,79.9€ HT/m²
Parquet Chêne Semi-Massif Dune,Ref: 05030102340,77.88€ HT/m²
Parquet Chêne Semi-Massif Dune,Ref: 05020101090,69.9€ HT/m²
Parquet Chêne Semi-Massif Naturel,Ref: 05030104280,69.9€ HT/m²
Parquet Chêne Semi-Massif Perle,Ref: 05030102240,69.9€ HT/m²
Parquet Chêne Massif Boston,Ref: 03010407705,129.9€ HT/m²
Parquet Chêne Massif Crans,Ref: 03010407706,129.9€ HT/m²
Parquet Chêne Massif Crans,Ref: 03010403306,99.9€ HT/m²
Parquet Chêne Massif Javeline,Ref: 03010407709,99.9€ HT/m²
Parquet Chêne Massif Boston,Ref: 03010403305,99.9€ HT/m²
Parquet Chêne Massif Aspect Brut,Ref: 03010407708,99.9€ HT/m²
Parquet Chêne Massif Griveline,Ref: 03010407701,99.9€ HT/m²
Parquet Chêne Massif Haussmann,Ref: 03010407703,99.9€ HT/m²
Parquet Chêne Massif Naturel,Ref: 03010407702,99.9€ HT/m²
Parquet Chêne Massif Javeline,Ref: 03010403309,79.9€ HT/m²
Parquet Chêne Massif Aspect Brut Verni,Ref: 03010403308,79.9€ HT/m²
Parquet Chêne Massif Haussmann,Ref: 03010403303,79.9€ HT/m²
Parquet Chêne Massif Naturel,Ref: 03010403302,79.9€ HT/m²
Sol Stratifié Nature,Ref: 06043624230,24.9€ HT/m²
Parquet Chêne Massif Griveline,Ref: 03010403301,79.9€ HT/m²
Dalles de Versailles Semi-Massif Venezia,Ref: 02024980980,229.9€ HT/m²
Parquet Chêne Semi-Massif Blanchi,Ref: 05020102640,69.9€ HT/m²
